,Country,Energy Supply,Energy Supply per Capita,% Renewable
203,Slovenia,287,139,31.86424
204,Solomon Islands,6,11,0
205,Somalia,126,12,0
206,South Africa,6341,119,1.687019
207,South Sudan,28,2,0.423729
208,Spain16,4923,106,37.96859
209,Sri Lanka,388,19,59.57323
210,State of Palestine,61,14,0
211,Sudan,608,16,78.41048
212,Suriname,34,65,22.02381
213,Swaziland,49,39,40.67797
214,Sweden,2044,212,46.59846
215,Switzerland17,1113,136,57.74548
216,Syrian Arab Republic,542,28,11.56827
217,Tajikistan,106,13,99.74292
218,Thailand,5336,79,4.305189
219,The former Yugoslav Republic of Macedonia,117,56,26.14047
220,Timor-Leste,7,6,0
221,Togo,134,19,80.18018
222,Tonga,3,28,0
223,Trinidad and Tobago,824,611,0
224,Tunisia,430,39,3.492547
225,Turkey,4897,64,28.53669
226,Turkmenistan,1102,210,0
227,Turks and Caicos Islands,3,85,0
228,Tuvalu,...,...,0
229,Uganda,452,12,68.01818
230,Ukraine18,4844,107,8.067312
231,United Arab Emirates,2710,300,0
232,United Kingdom of Great Britain and Northern Ireland19,7920,124,10.60047
233,United Republic of Tanzania,994,20,31.07284
234,United States of America20,90838,286,11.57098
235,United States Virgin Islands,...,...,0
236,Uruguay,196,58,71.60504
237,Uzbekistan,1798,62,21.32841
238,Vanuatu,3,10,14.70588
239,Venezuela (Bolivarian Republic of),2871,95,67.83452
240,Viet Nam,2554,28,45.32152
241,Wallis and Futuna Islands,0,26,0
242,Yemen,344,13,0
243,Zambia,400,26,99.71467
244,Zimbabwe,480,32,52.53612
